,Incident ID,Incident Date,State,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,lat,lon
1873,2218951,2022-01-23,Ohio,Ashland,401 College Ave,Ashland University,0,0,0,0,1,,40.7887367,-82.2360391
1874,2218177,2022-01-22,Nevada,Las Vegas,4259 S Maryland Pkwy,"University of Nevada, Las Vegas",0,1,0,0,0,,36.1672559,-115.148516
1875,2216550,2022-01-21,Pennsylvania,Sharon Hill,300 Calcon Hook Rd,Academy Park High School,0,0,0,0,1,,39.9063027,-75.2721402
1876,2216873,2022-01-21,Ohio,Columbus,546 Jack Gibbs Blvd,Fort Hayes High School,0,0,0,0,1,,39.9622601,-83.0007065
1877,2216656,2022-01-21,Maryland,Derwood,5939 Muncaster Mill Rd,Magruder High School,0,1,0,0,1,,39.11733,-77.1610916
1878,2217170,2022-01-20,Nebraska,Lincoln,2930 S 37th St,Lincoln Southeast High School,0,0,0,0,1,,40.8088861,-96.7077751
1879,2221393,2022-01-20,Colorado,Grand Junction,600 N 14th St,Grand River Academy,0,0,0,0,1,,39.063956,-108.5507317
1880,2216568,2022-01-20,Florida,Fort Myers,2600 Buckingham Rd,Riverdale High School,0,0,0,0,1,,26.640628,-81.8723084
1881,2219268,2022-01-20,North Carolina,Mount Ulla,8050 NC-801,West Rowan High School,0,0,0,0,0,,35.6584725,-80.7267361
1882,2216395,2022-01-19,Colorado,Alamosa,805 Craft Dr,Alamosa High School,0,0,0,0,1,,37.5780995,-105.7890452
1883,2214766,2022-01-19,Florida,Sanford,2701 Ridgewood Ave,Seminole High School,0,1,0,0,1,,28.8117345,-81.2680223
1884,2218181,2022-01-19,Arkansas,Arkadelphia,,Arkadelphia Public Schools,0,0,0,0,1,,34.1209292,-93.053784
1885,2214981,2022-01-19,Georgia,Atlanta,551 John Wesley Dobbs Ave NE,David T. Howard Middle School,0,0,0,0,0,,33.7489924,-84.3902644
1886,2214976,2022-01-19,Pennsylvania,Pittsburgh,2323 Brighton Rd,Oliver Citywide Academy,1,0,0,0,2,,40.4416941,-79.9900861
1887,2216264,2022-01-19,Florida,Fort Lauderdale (Oakland Park),700 NE 56th St,Northeast High School,0,0,0,0,1,,26.1663082,-80.16287793152983
1888,2215486,2022-01-18,Arizona,Phoenix,1750 W Thunderbird Rd,Thunderbird High School,0,0,0,0,1,,33.4484367,-112.074141
1889,2214989,2022-01-18,Georgia,Atlanta,929 Charles Allen Dr NE,Midtown High School,0,0,0,0,1,,33.7489924,-84.3902644
1890,2215861,2022-01-18,Louisiana,Baton Rouge,3304 S Quad Dr,LSU / Patrick F. Taylor Hall,0,0,0,0,1,,30.4494155,-91.1869659
1891,2220307,2022-01-18,Texas,San Antonio,7611 Marbach Rd,John Jay HS,0,0,0,0,0,,29.4246002,-98.4951405
1892,2215096,2022-01-14,Georgia,Lithonia,2440 Phillips Rd,Lithonia High School,0,0,0,0,0,,33.7123305,-84.1051939
1893,2211296,2022-01-14,Connecticut,New Haven,199 Wilmot Rd,Brennan-Rogers Magnet School,0,0,0,0,1,,41.3082138,-72.9250518
1894,2215857,2022-01-14,Louisiana,Monroe,600 Forsythe Ave,Neville High School,0,0,0,0,1,,32.5102427,-92.1032411
1895,2211957,2022-01-14,Florida,Port Saint Lucie,1000 SW Darwin Blvd,Treasure Coast High School,0,0,0,0,1,,27.2939333,-80.3503283
1896,2211396,2022-01-13,Georgia,Moultrie,812 11th Ave NW,Charlie A. Gray Junior High School,0,0,0,0,0,,31.179998,-83.7887928
1897,2212061,2022-01-13,Florida,Plantation,6901 NW 16th St,Plantation High School,0,0,0,0,1,,26.12744855,-80.25779069425029
1898,2210590,2022-01-13,Arizona,Glendale,9126 W Camelback Rd,Copper Canyon High School,0,0,0,0,1,,33.5386858,-112.185994
1899,2210049,2022-01-12,Virginia,Henrico,7053 Messer Rd,Varina High School,0,0,0,0,0,,37.5131191,-77.3465081
1900,2210756,2022-01-12,Michigan,Warren,22900 Federal Ave,Lincoln High School,0,0,0,0,1,,42.4932575,-83.0062746
1901,2210040,2022-01-11,Pennsylvania,Pittsburgh,125 Parkfield St,Pittsburgh Carrick High School,0,0,0,0,1,,40.4416941,-79.9900861
1902,2209610,2022-01-11,New Mexico,Albuquerque,1505 Candelaria Rd NW,Valley High School,0,0,0,0,0,,35.0841034,-106.650985
1903,2210361,2022-01-11,Maryland,Silver Spring,12401 Dalewood Dr,Wheaton High School,0,0,0,0,1,,38.9959461,-77.0276231
1904,2209278,2022-01-10,Tennessee,Memphis,4080 Kirby Pkwy,Kirby High School,0,0,0,0,1,,35.1460249,-90.0517638
